Schema,Question_Number,Question_Number_V2,Question_Type,Answer_Number,Point_Recommendation,Label,Key Question,answer_uuid
Evidence,6,,ordinal,3,-1,Randomized Assignment,,
Evidence,8,,ordinal,1,-4,Alternative explanation,,
Evidence,8,,ordinal,2,-3,Alternative explanation,,
Evidence,8,,ordinal,3,-2,Alternative explanation,,
Evidence,8,,ordinal,4,-1,Alternative explanation,,
Evidence,8,,ordinal,5,0,Alternative explanation,,
Evidence,10,,ordinal,1,-3,Statistical uncertainty,,
Evidence,10,,ordinal,2,-2,Statistical uncertainty,,
Evidence,10,,ordinal,3,-1,Statistical uncertainty,,
Evidence,10,,ordinal,4,-0.5,Statistical uncertainty,,
Evidence,10,,ordinal,5,0,Statistical uncertainty,,
Evidence,11,,ordinal,1,-3,Systematic uncertainty,,
Evidence,11,,ordinal,2,-2,Systematic uncertainty,,
Evidence,11,,ordinal,3,-1,Systematic uncertainty,,
Evidence,11,,ordinal,4,-0.5,Systematic uncertainty,,
Evidence,11,,ordinal,5,0,Systematic uncertainty,,
Evidence,12,,ordinal,1,0,Open to evidence,,
Evidence,12,,ordinal,2,-0.5,Open to evidence,,
Evidence,12,,ordinal,3,-1,Open to evidence,,
Evidence,12,,ordinal,4,-2,Open to evidence,,
Probability,2,,ordinal,1,0,Inappropriate confidence,,
Probability,2,,ordinal,2,-0.5,Inappropriate confidence,,
Probability,2,,ordinal,3,-1,Inappropriate confidence,,
Probability,2,,ordinal,4,-2,Inappropriate confidence,,
Probability,2,,ordinal,5,-3,Inappropriate confidence,,
Probability,4,,ordinal,2,-2,,,
Probability,4,,ordinal,1,-1,,,
Probability,4,,ordinal,0,0,,,
Probability,5,,ordinal,1,1,Acknowledges uncertainty,,
Probability,5,,ordinal,2,0.5,Acknowledges uncertainty,,
Probability,5,,ordinal,3,-2,Doesn’t acknowledge uncertainty,,
Probability,7,,ordinal,1,0,Numeric context,,
Probability,7,,ordinal,2,-2,Numeric context,,
Probability,7,,ordinal,3,-1,Numeric context,,
Probability,7,,ordinal,4,0,Numeric context,,
Probability,7,,ordinal,5,0,Numeric context,,
Probability,8,,ordinal,1,-3,Systematic Variation,,
Probability,8,,ordinal,2,-2,Systematic Variation,,
Probability,8,,ordinal,3,-1,Systematic Variation,,
Probability,8,,ordinal,4,0,Systematic Variation,,
Probability,8,,ordinal,5,1,Systematic Variation,,
Probability,9,,ordinal,1,-3,Statistical Variation,,
Probability,9,,ordinal,2,-2,Statistical Variation,,
Probability,9,,ordinal,3,-1,Statistical Variation,,
Probability,9,,ordinal,4,0,Statistical Variation,,
Probability,9,,ordinal,5,1,Statistical Variation,,
Probability,10,,ordinal,1,-2,False precision,,
Probability,10,,ordinal,2,-1,False precision,,
Probability,10,,ordinal,3,0,False precision,,
Probability,12,,categorical,1,1,Open to evidence,,
Probability,12,,categorical,2,1,Open to evidence,,
Probability,12,,categorical,3,1,Open to evidence,,
Probability,12,,categorical,4,1,Open to evidence,,
Probability,12,,categorical,5,0,Open to evidence,,
Overall,2,,ordinal,1,-3,Very biased,,
,2,,ordinal,2,-2,Very Biased,,
,2,,ordinal,3,-1,Biased,,
,2,,ordinal,4,0,Minor Bias,,
,2,,ordinal,5,1,Circumspect,,
Overall,6,,ordinal,1,2,Good Title,,
,6,,ordinal,2,0,Exaggerated title,,
,6,,ordinal,3,-1,Exaggerated title,,
,6,,ordinal,4,-3,Irrelevant title,,
Overall,6,,ordinal,5,-5,ClickBait title,,
Overall,3,,checklist,10,-10,Celebrity Gossip,,
