article_num,article_sha256,question_Number,agreed_Answer,coding_Score,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,num_users,target_text
1729,639f9da102e0b9840f3d6b019739e555711c757acd383f4a9046d093a44923d2,2,L,0.0,L,L,L,0.0,4,L
1729,639f9da102e0b9840f3d6b019739e555711c757acd383f4a9046d093a44923d2,2,L,0.0,L,L,L,0.0,4,L
1729,639f9da102e0b9840f3d6b019739e555711c757acd383f4a9046d093a44923d2,3,2,0.9501480315432875,[],NA,NA,0.9501480315432875,4,NA
1738,9b9030e7254ff2c88d4b22763f3893d83d65944a9d64e6936f5513f3bbefe242,1,L,0.16666666666666666,L,L,L,0.08333333333333333,10,L
1738,9b9030e7254ff2c88d4b22763f3893d83d65944a9d64e6936f5513f3bbefe242,1,L,0.0,L,L,L,0.0,10,L
1738,9b9030e7254ff2c88d4b22763f3893d83d65944a9d64e6936f5513f3bbefe242,1,L,0.16666666666666666,L,L,L,0.08333333333333333,10,L
1738,9b9030e7254ff2c88d4b22763f3893d83d65944a9d64e6936f5513f3bbefe242,1,L,0.16666666666666666,L,L,L,0.08333333333333333,10,L
1738,9b9030e7254ff2c88d4b22763f3893d83d65944a9d64e6936f5513f3bbefe242,1,5,0.8333333333333334,[],NA,NA,0.8333333333333334,10,NA
1738,9b9030e7254ff2c88d4b22763f3893d83d65944a9d64e6936f5513f3bbefe242,1,L,0.0,L,L,L,0.0,10,L
1738,9b9030e7254ff2c88d4b22763f3893d83d65944a9d64e6936f5513f3bbefe242,1,L,0.16666666666666666,L,L,L,0.08333333333333333,10,L
1738,9b9030e7254ff2c88d4b22763f3893d83d65944a9d64e6936f5513f3bbefe242,2,L,0.2,L,L,L,0.1,9,L
1738,9b9030e7254ff2c88d4b22763f3893d83d65944a9d64e6936f5513f3bbefe242,2,L,0.0,L,L,L,0.0,9,L
1738,9b9030e7254ff2c88d4b22763f3893d83d65944a9d64e6936f5513f3bbefe242,2,L,0.0,L,L,L,0.0,9,L
1738,9b9030e7254ff2c88d4b22763f3893d83d65944a9d64e6936f5513f3bbefe242,2,L,0.0,L,L,L,0.0,9,L
1738,9b9030e7254ff2c88d4b22763f3893d83d65944a9d64e6936f5513f3bbefe242,2,5,0.8,[],NA,NA,0.8,9,NA
1738,9b9030e7254ff2c88d4b22763f3893d83d65944a9d64e6936f5513f3bbefe242,2,L,0.0,L,L,L,0.0,9,L
1738,9b9030e7254ff2c88d4b22763f3893d83d65944a9d64e6936f5513f3bbefe242,2,L,0.2,L,L,L,0.1,9,L
1738,9b9030e7254ff2c88d4b22763f3893d83d65944a9d64e6936f5513f3bbefe242,2,L,0.0,L,L,L,0.0,9,L
1738,9b9030e7254ff2c88d4b22763f3893d83d65944a9d64e6936f5513f3bbefe242,3,2,0.9272920888781766,[],NA,NA,0.9272920888781766,10,NA
1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,1,U,nan,U,U,U,nan,2,U
1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,1,U,nan,U,U,U,nan,2,U
1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,1,U,nan,U,U,U,nan,2,U
1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,1,U,nan,U,U,U,nan,2,U
1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,1,U,nan,U,U,U,nan,2,U
1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,1,U,nan,U,U,U,nan,2,U
1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,1,U,nan,U,U,U,nan,2,U
1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,2,U,nan,U,U,U,nan,2,U
1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,2,U,nan,U,U,U,nan,2,U
1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,2,U,nan,U,U,U,nan,2,U
1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,2,U,nan,U,U,U,nan,2,U
1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,2,U,nan,U,U,U,nan,2,U
1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,2,U,nan,U,U,U,nan,2,U
1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,2,U,nan,U,U,U,nan,2,U
1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,2,U,nan,U,U,U,nan,2,U
1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,3,U,0.9342150418290642,U,U,U,0.4671075209145321,2,U
1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,1,M,0.4,M,M,M,0.2,9,M
1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,1,2,1.0,[],NA,NA,1.0,9,NA
1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,1,L,0.2,L,L,L,0.1,9,L
1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,1,4,0.8,[],NA,NA,0.8,9,NA
1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,1,5,0.8,[],NA,NA,0.8,9,NA
1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,1,M,0.6,M,M,M,0.3,9,M
1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,1,L,0.2,L,L,L,0.1,9,L
1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,2,L,0.25,L,L,L,0.125,9,L
1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,2,L,0.0,L,L,L,0.0,9,L
1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,2,3,0.75,[],NA,NA,0.75,9,NA
1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,2,L,0.0,L,L,L,0.0,9,L
1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,2,L,0.0,L,L,L,0.0,9,L
1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,2,L,0.0,L,L,L,0.0,9,L
1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,2,7,0.75,[],NA,NA,0.75,9,NA
1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,2,L,0.0,L,L,L,0.0,9,L
1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,3,1,0.9708536543404835,[],NA,NA,0.9708536543404835,9,NA
1736,f3c96735b1259b516d88bd87c030608333260e2bef8d68d2daea2b524b8d9588,1,1,1.0,[],NA,NA,1.0,7,NA
1736,f3c96735b1259b516d88bd87c030608333260e2bef8d68d2daea2b524b8d9588,1,2,1.0,[],NA,NA,1.0,7,NA
1736,f3c96735b1259b516d88bd87c030608333260e2bef8d68d2daea2b524b8d9588,1,L,0.0,L,L,L,0.0,7,L
1736,f3c96735b1259b516d88bd87c030608333260e2bef8d68d2daea2b524b8d9588,1,4,1.0,[],NA,NA,1.0,7,NA
1736,f3c96735b1259b516d88bd87c030608333260e2bef8d68d2daea2b524b8d9588,1,M,0.5,M,M,M,0.25,7,M
1736,f3c96735b1259b516d88bd87c030608333260e2bef8d68d2daea2b524b8d9588,1,6,1.0,[],NA,NA,1.0,7,NA
1736,f3c96735b1259b516d88bd87c030608333260e2bef8d68d2daea2b524b8d9588,1,L,0.0,L,L,L,0.0,7,L
1736,f3c96735b1259b516d88bd87c030608333260e2bef8d68d2daea2b524b8d9588,2,L,nan,L,L,L,nan,7,L
1736,f3c96735b1259b516d88bd87c030608333260e2bef8d68d2daea2b524b8d9588,2,L,nan,L,L,L,nan,7,L
1736,f3c96735b1259b516d88bd87c030608333260e2bef8d68d2daea2b524b8d9588,2,L,nan,L,L,L,nan,7,L
1736,f3c96735b1259b516d88bd87c030608333260e2bef8d68d2daea2b524b8d9588,2,L,nan,L,L,L,nan,7,L
1736,f3c96735b1259b516d88bd87c030608333260e2bef8d68d2daea2b524b8d9588,2,L,nan,L,L,L,nan,7,L
1736,f3c96735b1259b516d88bd87c030608333260e2bef8d68d2daea2b524b8d9588,2,L,nan,L,L,L,nan,7,L
1736,f3c96735b1259b516d88bd87c030608333260e2bef8d68d2daea2b524b8d9588,2,L,nan,L,L,L,nan,7,L
1736,f3c96735b1259b516d88bd87c030608333260e2bef8d68d2daea2b524b8d9588,2,L,nan,L,L,L,nan,7,L
1736,f3c96735b1259b516d88bd87c030608333260e2bef8d68d2daea2b524b8d9588,3,2,0.9360897671449737,[],NA,NA,0.9360897671449737,7,NA
