task_pybossa_id,taskrun_pybossa_id,task_url,taskrun_article_batch_name,taskrun_article_number,taskrun_article_filename,contributor_id,anno_id,topic_namespace,topic_number,topic_name,question_number,question_text,answer_number,answer_text,case_number,start_pos,end_pos,target_text,source_text_length
282,111,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/282,credco_webconf_articles.tar,4,4article.txt,13,39,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,21,"Does the author exaggerate any claims? If so, highlight the relevant section(s).",3,No,0,0,0,,0
282,111,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/282,credco_webconf_articles.tar,4,4article.txt,13,40,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,22,Is a general or singular causal claim made? Highlight the section(s) that supports your answer.,1,General Causal Claim,0,531,719,"The Dietary Fats and Cardiovascular Disease advisory reviewed existing data on saturated fat, showing coconut oil increased LDL (""bad"") cholesterol in seven out of seven controlled trials.",3362
282,111,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/282,credco_webconf_articles.tar,4,4article.txt,13,41,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,23,What evidence is given for the primary claim? Select all that apply.,6,Experts are cited,0,1055,1326,"""Because coconut oil increases LDL cholesterol, a cause of CVD [cardiovascular disease], and has no known offsetting favorable effects, we advise against the use of coconut oil,"" the American Heart Association said in the Dietary Fats and Cardiovascular Disease advisory.",3362
282,111,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/282,credco_webconf_articles.tar,4,4article.txt,13,42,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,25,How convincing do you find the evidence given for the primary claim?,4,Slightly Convincing,0,0,0,,0
286,115,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/286,credco_webconf_articles.tar,9,9article.txt,13,116,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,1,Rate your impression of the credibility of this article,1,Very low credibility,0,0,0,,0
286,115,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/286,credco_webconf_articles.tar,9,9article.txt,13,117,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,2,Question: Does the title of the article accurately reflect the content of the article?,4,Completely Representative,0,0,0,,0
286,115,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/286,credco_webconf_articles.tar,9,9article.txt,13,118,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,4,Is the headline clickbaity?,1,Very much clickbaity,0,0,0,,0
286,115,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/286,credco_webconf_articles.tar,9,9article.txt,13,119,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,5,What clickbait techniques does this headline employ (select all that apply)?,3,"Provoking emotions, such as shock or surprise (“...Shocking Result”, “...Leave You in Tears”)",0,39,65,HORRIBLE INCURABLE DISEASE,2827
286,115,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/286,credco_webconf_articles.tar,9,9article.txt,13,120,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,5,What clickbait techniques does this headline employ (select all that apply)?,7,Inducing fear (“Is Your Boyfriend Cheating on You?”),0,18,30,E-CIGARETTES,2827
286,115,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/286,credco_webconf_articles.tar,9,9article.txt,13,120,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,5,What clickbait techniques does this headline employ (select all that apply)?,7,Inducing fear (“Is Your Boyfriend Cheating on You?”),0,39,65,HORRIBLE INCURABLE DISEASE,2827
286,115,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/286,credco_webconf_articles.tar,9,9article.txt,13,120,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,5,What clickbait techniques does this headline employ (select all that apply)?,7,Inducing fear (“Is Your Boyfriend Cheating on You?”),0,39,65,HORRIBLE INCURABLE DISEASE,2827
286,115,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/286,credco_webconf_articles.tar,9,9article.txt,13,120,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,5,What clickbait techniques does this headline employ (select all that apply)?,7,Inducing fear (“Is Your Boyfriend Cheating on You?”),0,18,30,E-CIGARETTES,2827
286,115,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/286,credco_webconf_articles.tar,9,9article.txt,13,120,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,5,What clickbait techniques does this headline employ (select all that apply)?,7,Inducing fear (“Is Your Boyfriend Cheating on You?”),0,89,112,WORSE THAN LUNG CANCER!,2827
286,115,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/286,credco_webconf_articles.tar,9,9article.txt,13,121,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,7,Is this article primarily about a single scientific study?,1,Yes,0,376,445,Harvard School of Public Health decided to do a study on E-cigarettes,2827
286,115,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/286,credco_webconf_articles.tar,9,9article.txt,13,122,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,8,"Which of the following types of sources are cited in the article? Check all that apply. If Other, please highlight.",3,Studies,0,0,0,,0
286,115,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/286,credco_webconf_articles.tar,9,9article.txt,13,123,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,10,Highlight each scientific study cited:,1,Scientific Study 1,0,1079,1136,They took 51 different flavored e-cigs and analyzed them.,2827
286,115,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/286,credco_webconf_articles.tar,9,9article.txt,13,124,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,12,"Are any experts, organizations, or studies cited that are separate from the central study quoted in the article? If so, highlight relevant section(s).",1,None,0,0,0,,0
286,115,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/286,credco_webconf_articles.tar,9,9article.txt,13,125,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,13,To what extent does their confidence in their claims seem justified?,1,Completely justified,0,0,0,,0
286,115,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/286,credco_webconf_articles.tar,9,9article.txt,13,126,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,14,"Do they acknowledge uncertainty or the possibility that things might be otherwise? If so, highlight the relevant section(s).",3,No,0,0,0,,0
286,115,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/286,credco_webconf_articles.tar,9,9article.txt,13,127,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,15,"Does the author present the counterargument as a weaker, more foolish version of the real counterargument (use a Straw Man Argument)? If so, highlight the relevant section(s).",3,No,0,0,0,,0
286,115,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/286,credco_webconf_articles.tar,9,9article.txt,13,128,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,16,"Does the author present a complicated choice as if it were binary (construct a false dilemma)? If so, highlight the relevant section(s).",3,No,0,0,0,,0
286,115,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/286,credco_webconf_articles.tar,9,9article.txt,13,129,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,17,Does the author say that one small change will lead to a major change (use a slippery slope argument)? Highlight the relevant section(s).,3,No,0,0,0,,0
286,115,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/286,credco_webconf_articles.tar,9,9article.txt,13,130,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,18,Does the author exaggerate the dangers of a situation and use scare tactics to persuade (the appeal to fear fallacy)?,1,Yes,0,1653,1834,"Allan also noted how scary these findings are as the flavor names of these e-cigs include cotton candy, cupcake, and other flavors which would clearly be attractive to young people.",2827
286,115,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/286,credco_webconf_articles.tar,9,9article.txt,13,131,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,19,"Does the author suggest that something is good because it is natural, or bad because it is not natural (the naturalistic fallacy)?",3,No,0,0,0,,0
286,115,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/286,credco_webconf_articles.tar,9,9article.txt,13,132,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,20,"Does the article have an emotionally charged tone? (i.e, outrage, snark, celebration, horror, etc.). If so, highlight the relevant section(s).",1,Yes,0,272,357,"But of course, there’s the old saying that starts out, “if it’s too good to be true…”",2827
286,115,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/286,credco_webconf_articles.tar,9,9article.txt,13,133,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,21,"Does the author exaggerate any claims? If so, highlight the relevant section(s).",1,Yes,0,886,939,The disease is totally debilitating and irreversible.,2827
286,115,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/286,credco_webconf_articles.tar,9,9article.txt,13,134,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,22,Is a general or singular causal claim made? Highlight the section(s) that supports your answer.,1,General Causal Claim,0,2242,2464,"In addition to containing varying levels of the addictive substance nicotine, they also contain other cancer-causing chemicals, such as formaldehyde, and as our study shows, flavoring chemicals that can cause lung damage.”",2827
286,115,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/286,credco_webconf_articles.tar,9,9article.txt,13,135,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,23,What evidence is given for the primary claim? Select all that apply.,6,Experts are cited,0,1984,2105,"David Christiani, Elkan Blout Professor of Environmental Genetics, was the co-author of the study and said the following:",2827
286,115,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/286,credco_webconf_articles.tar,9,9article.txt,13,135,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,23,What evidence is given for the primary claim? Select all that apply.,6,Experts are cited,0,1137,1258,"The author, Joseph Allen, along with his team, discovered that at least 1 of 3 top toxins were found in 47 of the e-cigs.",2827
286,115,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/286,credco_webconf_articles.tar,9,9article.txt,13,136,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,23,What evidence is given for the primary claim? Select all that apply.,1,Correlation,0,753,885,This condition was first noticed in workers in microwave popcorn processing facilities who inhaled the artificial butter flavouring.,2827
286,115,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/286,credco_webconf_articles.tar,9,9article.txt,13,137,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,25,How convincing do you find the evidence given for the primary claim?,5,Not at All Convincing,0,0,0,,0
287,116,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/287,credco_webconf_articles.tar,12,12article.txt,13,138,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,1,Rate your impression of the credibility of this article,2,Somewhat low credibility,0,0,0,,0
287,116,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/287,credco_webconf_articles.tar,12,12article.txt,13,139,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,2,Question: Does the title of the article accurately reflect the content of the article?,3,Somewhat Representative,0,0,0,,0
287,116,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/287,credco_webconf_articles.tar,12,12article.txt,13,140,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,4,Is the headline clickbaity?,1,Very much clickbaity,0,0,0,,0
287,116,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/287,credco_webconf_articles.tar,12,12article.txt,13,141,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,5,What clickbait techniques does this headline employ (select all that apply)?,3,"Provoking emotions, such as shock or surprise (“...Shocking Result”, “...Leave You in Tears”)",0,7,47,Mom’s warning is spreading like wildfire,2944
287,116,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/287,credco_webconf_articles.tar,12,12article.txt,13,142,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,7,Is this article primarily about a single scientific study?,2,No,0,0,0,,0
287,116,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/287,credco_webconf_articles.tar,12,12article.txt,13,143,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,8,"Which of the following types of sources are cited in the article? Check all that apply. If Other, please highlight.",4,Organizations,0,0,0,,0
287,116,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/287,credco_webconf_articles.tar,12,12article.txt,13,144,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,11,Highlight each organization cited:,1,Cited Organization 1,0,1695,1748,"According to health consultants Cashins & Associates,",2944
287,116,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/287,credco_webconf_articles.tar,12,12article.txt,13,145,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,13,To what extent does their confidence in their claims seem justified?,1,Completely justified,0,0,0,,0
287,116,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/287,credco_webconf_articles.tar,12,12article.txt,13,146,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,14,"Do they acknowledge uncertainty or the possibility that things might be otherwise? If so, highlight the relevant section(s).",3,No,0,0,0,,0
287,116,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/287,credco_webconf_articles.tar,12,12article.txt,13,147,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,15,"Does the author present the counterargument as a weaker, more foolish version of the real counterargument (use a Straw Man Argument)? If so, highlight the relevant section(s).",3,No,0,0,0,,0
287,116,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/287,credco_webconf_articles.tar,12,12article.txt,13,148,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,16,"Does the author present a complicated choice as if it were binary (construct a false dilemma)? If so, highlight the relevant section(s).",3,No,0,0,0,,0
287,116,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/287,credco_webconf_articles.tar,12,12article.txt,13,149,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,17,Does the author say that one small change will lead to a major change (use a slippery slope argument)? Highlight the relevant section(s).,3,No,0,0,0,,0
287,116,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/287,credco_webconf_articles.tar,12,12article.txt,13,150,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,18,Does the author exaggerate the dangers of a situation and use scare tactics to persuade (the appeal to fear fallacy)?,3,No,0,0,0,,0
287,116,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/287,credco_webconf_articles.tar,12,12article.txt,13,151,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,19,"Does the author suggest that something is good because it is natural, or bad because it is not natural (the naturalistic fallacy)?",3,No,0,0,0,,0
287,116,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/287,credco_webconf_articles.tar,12,12article.txt,13,152,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,20,"Does the article have an emotionally charged tone? (i.e, outrage, snark, celebration, horror, etc.). If so, highlight the relevant section(s).",3,No,0,0,0,,0
287,116,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/287,credco_webconf_articles.tar,12,12article.txt,13,153,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,21,"Does the author exaggerate any claims? If so, highlight the relevant section(s).",3,No,0,0,0,,0
287,116,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/287,credco_webconf_articles.tar,12,12article.txt,13,154,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,22,Is a general or singular causal claim made? Highlight the section(s) that supports your answer.,1,General Causal Claim,0,1749,2001,"the inhalation of small particles can cause cardiovascular disease, asthma, bronchitis, and other respiratory diseases. It also says that about 20,000 people die prematurely each year in the United States as a result of being exposed to soot particles.",2944
287,116,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/287,credco_webconf_articles.tar,12,12article.txt,13,154,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,22,Is a general or singular causal claim made? Highlight the section(s) that supports your answer.,1,General Causal Claim,0,2003,2129,"Moreover, soot causes respiratory problems behind approximately 300,000 asthma attacks and 2 million lost work days each year.",2944
287,116,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/287,credco_webconf_articles.tar,12,12article.txt,13,155,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,23,What evidence is given for the primary claim? Select all that apply.,6,Experts are cited,0,2245,2393,Experts recommend trimming candle wicks regularly and not letting them burn for more than a few hours at a time to prevent them from spreading soot.,2944
287,116,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/287,credco_webconf_articles.tar,12,12article.txt,13,155,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,23,What evidence is given for the primary claim? Select all that apply.,6,Experts are cited,0,1749,1868,"the inhalation of small particles can cause cardiovascular disease, asthma, bronchitis, and other respiratory diseases.",2944
287,116,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/287,credco_webconf_articles.tar,12,12article.txt,13,156,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,25,How convincing do you find the evidence given for the primary claim?,4,Slightly Convincing,0,0,0,,0
288,117,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/288,credco_webconf_articles.tar,13,13article.txt,13,157,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,1,Rate your impression of the credibility of this article,4,Somewhat high credibility,0,0,0,,0
288,117,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/288,credco_webconf_articles.tar,13,13article.txt,13,158,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,2,Question: Does the title of the article accurately reflect the content of the article?,4,Completely Representative,0,0,0,,0
288,117,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/288,credco_webconf_articles.tar,13,13article.txt,13,159,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,4,Is the headline clickbaity?,4,Not at all clickbaity,0,0,0,,0
288,117,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/288,credco_webconf_articles.tar,13,13article.txt,13,160,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,7,Is this article primarily about a single scientific study?,2,No,0,0,0,,0
288,117,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/288,credco_webconf_articles.tar,13,13article.txt,13,161,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,8,"Which of the following types of sources are cited in the article? Check all that apply. If Other, please highlight.",4,Organizations,0,0,0,,0
288,117,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/288,credco_webconf_articles.tar,13,13article.txt,13,162,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,11,Highlight each organization cited:,1,Cited Organization 1,0,3726,3781,Federal Commission for Protection against Health Risks.,18449
288,117,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/288,credco_webconf_articles.tar,13,13article.txt,13,163,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,11,Highlight each organization cited:,2,Cited Organization 2,0,6191,6215,U.S. Department of State,18449
288,117,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/288,credco_webconf_articles.tar,13,13article.txt,13,164,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,13,To what extent does their confidence in their claims seem justified?,2,Mostly justified,0,0,0,,0
288,117,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/288,credco_webconf_articles.tar,13,13article.txt,13,165,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,14,"Do they acknowledge uncertainty or the possibility that things might be otherwise? If so, highlight the relevant section(s).",3,No,0,0,0,,0
288,117,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/288,credco_webconf_articles.tar,13,13article.txt,13,166,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,15,"Does the author present the counterargument as a weaker, more foolish version of the real counterargument (use a Straw Man Argument)? If so, highlight the relevant section(s).",3,No,0,0,0,,0
288,117,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/288,credco_webconf_articles.tar,13,13article.txt,13,167,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,16,"Does the author present a complicated choice as if it were binary (construct a false dilemma)? If so, highlight the relevant section(s).",3,No,0,0,0,,0
288,117,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/288,credco_webconf_articles.tar,13,13article.txt,13,168,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,17,Does the author say that one small change will lead to a major change (use a slippery slope argument)? Highlight the relevant section(s).,3,No,0,0,0,,0
288,117,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/288,credco_webconf_articles.tar,13,13article.txt,13,169,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,18,Does the author exaggerate the dangers of a situation and use scare tactics to persuade (the appeal to fear fallacy)?,3,No,0,0,0,,0
288,117,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/288,credco_webconf_articles.tar,13,13article.txt,13,170,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,19,"Does the author suggest that something is good because it is natural, or bad because it is not natural (the naturalistic fallacy)?",3,No,0,0,0,,0
288,117,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/288,credco_webconf_articles.tar,13,13article.txt,13,171,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,20,"Does the article have an emotionally charged tone? (i.e, outrage, snark, celebration, horror, etc.). If so, highlight the relevant section(s).",3,No,0,0,0,,0
288,117,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/288,credco_webconf_articles.tar,13,13article.txt,13,172,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,21,"Does the author exaggerate any claims? If so, highlight the relevant section(s).",3,No,0,0,0,,0
288,117,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/288,credco_webconf_articles.tar,13,13article.txt,13,173,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,22,Is a general or singular causal claim made? Highlight the section(s) that supports your answer.,2,Singular Causal Claim,0,862,1007,"“They serve alcoholic drinks with alcohol of bad quality and in great amounts, mixing different types of drinks,” he wrote in his native Spanish.",18449
288,117,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/288,credco_webconf_articles.tar,13,13article.txt,13,173,CredWeb3,1,Round 3: CredCo WebConf Alpha Testing Questions,22,Is a general or singular causal claim made? Highlight the section(s) that supports your answer.,2,Singular Causal Claim,0,3120,3260,"Could it be what the attorney for the Conner family alluded to in his report: All-inclusive resorts using cheap, bootleg booze to cut costs?",18449
