anno_id,task_pybossa_id,task_url,taskrun_article_batch_name,taskrun_article_number,taskrun_article_filename,topic_number,topic_namespace,topic_name,question_number,question_text,answer_number,answer_text,contributor_id,start_pos,end_pos,target_text
11,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,9,Highlight each expert cited:,2,Expert 2,4,265,277,and millions
12,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,13,To what extent does their confidence in their claims seem justified?,2,Mostly justified,4,0,0,
13,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,14,"Do they acknowledge uncertainty or the possibility that things might be otherwise? If so, highlight the relevant section(s).",2,Sort of,4,258,264,killed
14,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,15,"Does the author present the counterargument as a weaker, more foolish version of the real counterargument (use a Straw Man Argument)? If so, highlight the relevant section(s).",3,No,4,0,0,
15,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,16,"Does the author present a complicated choice as if it were binary (construct a false dilemma)? If so, highlight the relevant section(s).",1,Yes,4,394,478,"flooding disasters to have affected the region in years.

International aid agencies"
16,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,17,Does the author say that one small change will lead to a major change (use a slippery slope argument)? Highlight the relevant section(s).,3,No,4,0,0,
17,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,18,Does the author exaggerate the dangers of a situation and use scare tactics to persuade (the appeal to fear fallacy)?,1,Yes,4,288,292,left
18,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,19,"Does the author suggest that something is good because it is natural, or bad because it is not natural (the naturalistic fallacy)?",1,Yes,4,623,651,frequent flooding during the
19,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,20,"Does the article have an emotionally charged tone? (i.e, outrage, snark, celebration, horror, etc.). If so, highlight the relevant section(s).",3,No,4,0,0,
20,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,21,"Does the author exaggerate any claims? If so, highlight the relevant section(s).",1,Yes,4,554,596,deprived of food and clean water for days.
21,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,22,Is a general or singular causal claim made? Highlight the section(s) that supports your answer.,3,No Causal Claim,4,0,0,
22,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,23,What evidence is given for the primary claim? Select all that apply.,8,No evidence given,4,0,0,
23,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,25,How convincing do you find the evidence given for the primary claim?,1,Very Convincing,4,0,0,
24,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,1,Rate your impression of the credibility of this article,5,Very high credibility,14,0,0,
25,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,2,Question: Does the title of the article accurately reflect the content of the article?,3,Somewhat Representative,14,0,0,
26,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,4,Is the headline clickbaity?,3,A little bit clickbaity,14,0,0,
27,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,5,What clickbait techniques does this headline employ (select all that apply)?,3,"Provoking emotions, such as shock or surprise (“...Shocking Result”, “...Leave You in Tears”)",14,45,83,"kill 1,200 and leave millions homeless"
28,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,5,What clickbait techniques does this headline employ (select all that apply)?,7,Inducing fear (“Is Your Boyfriend Cheating on You?”),14,7,44,"Floods in India, Bangladesh and Nepal"
28,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,5,What clickbait techniques does this headline employ (select all that apply)?,7,Inducing fear (“Is Your Boyfriend Cheating on You?”),14,39,83,"Nepal kill 1,200 and leave millions homeless"
29,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,7,Is this article primarily about a single scientific study?,2,No,14,0,0,
30,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,8,"Which of the following types of sources are cited in the article? Check all that apply. If Other, please highlight.",4,Organizations,14,0,0,
31,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,8,"Which of the following types of sources are cited in the article? Check all that apply. If Other, please highlight.",2,Experts,14,0,0,
32,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,8,"Which of the following types of sources are cited in the article? Check all that apply. If Other, please highlight.",5,Other,14,226,450,"At least 1,200 people have been killed and millions have been left homeless following devastating floods that have hit India, Bangladesh and Nepal, in one of the worst flooding disasters to have affected the region in years."
32,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,8,"Which of the following types of sources are cited in the article? Check all that apply. If Other, please highlight.",5,Other,14,773,853,"In the eastern Indian state of Bihar, the death toll has risen to more than 500,"
32,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,8,"Which of the following types of sources are cited in the article? Check all that apply. If Other, please highlight.",5,Other,14,968,1003,"affected 17 mllion people in India,"
32,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,8,"Which of the following types of sources are cited in the article? Check all that apply. If Other, please highlight.",5,Other,14,1605,1660,100 people had died and 2.5 million have been affected.
32,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,8,"Which of the following types of sources are cited in the article? Check all that apply. If Other, please highlight.",5,Other,14,1542,1660,"In the northern state of Uttar Pradesh, reports said more than 100 people had died and 2.5 million have been affected."
32,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,8,"Which of the following types of sources are cited in the article? Check all that apply. If Other, please highlight.",5,Other,14,1819,1874,water rising up to five feet in some parts of the city.
32,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,8,"Which of the following types of sources are cited in the article? Check all that apply. If Other, please highlight.",5,Other,14,2201,2340,"In neighbouring Bangladesh, at least 134 have died in monsoon flooding which is believed to have submerged at least a third of the country."
32,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,8,"Which of the following types of sources are cited in the article? Check all that apply. If Other, please highlight.",5,Other,14,2344,2382,"More than 600,000 hectares of farmland"
32,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,8,"Which of the following types of sources are cited in the article? Check all that apply. If Other, please highlight.",5,Other,14,2418,2443,"excess of 10,000 hectares"
32,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,8,"Which of the following types of sources are cited in the article? Check all that apply. If Other, please highlight.",5,Other,14,3034,3108,"In Nepal, 150 people have been killed and 90,000 homes have been destroyed"
32,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,8,"Which of the following types of sources are cited in the article? Check all that apply. If Other, please highlight.",5,Other,14,3221,3281,at least 7.1 million people have been affected in Bangladesh
32,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,8,"Which of the following types of sources are cited in the article? Check all that apply. If Other, please highlight.",5,Other,14,3327,3381,around 1.4 million people have been affected in Nepal.
32,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,8,"Which of the following types of sources are cited in the article? Check all that apply. If Other, please highlight.",5,Other,14,3587,3614,death toll now stands at 15
32,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,8,"Which of the following types of sources are cited in the article? Check all that apply. If Other, please highlight.",5,Other,14,3615,3709,"in the wake of Hurricane and Tropical Storm Harvey, with thousands forced to flee their homes."
32,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,8,"Which of the following types of sources are cited in the article? Check all that apply. If Other, please highlight.",5,Other,14,3612,3621,15 in the
33,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,9,Highlight each expert cited:,3,Expert 3,14,3978,4016,"India's Prime Minister, Narendra Modi,"
34,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,9,Highlight each expert cited:,2,Expert 2,14,3801,3819,climate scientists
35,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,9,Highlight each expert cited:,1,Expert 1,14,1047,1102,"Anirudh Kumar, a disaster management official in Patna,"
36,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,11,Highlight each organization cited:,1,Cited Organization 1,14,3121,3123,UN
37,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,11,Highlight each organization cited:,2,Cited Organization 2,14,452,478,International aid agencies
38,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,11,Highlight each organization cited:,3,Cited Organization 3,14,858,865,Straits
38,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,11,Highlight each organization cited:,3,Cited Organization 3,14,866,871,Times
38,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,11,Highlight each organization cited:,3,Cited Organization 3,14,858,871,Straits Times
39,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,11,Highlight each organization cited:,4,Cited Organization 4,14,2784,2839,International Federation of Red Cross and Red Crescent.
39,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,11,Highlight each organization cited:,4,Cited Organization 4,14,3210,3220,"Red Cross,"
40,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,13,To what extent does their confidence in their claims seem justified?,1,Completely justified,14,0,0,
41,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,14,"Do they acknowledge uncertainty or the possibility that things might be otherwise? If so, highlight the relevant section(s).",3,No,14,0,0,
42,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,15,"Does the author present the counterargument as a weaker, more foolish version of the real counterargument (use a Straw Man Argument)? If so, highlight the relevant section(s).",3,No,14,0,0,
43,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,16,"Does the author present a complicated choice as if it were binary (construct a false dilemma)? If so, highlight the relevant section(s).",3,No,14,0,0,
44,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,17,Does the author say that one small change will lead to a major change (use a slippery slope argument)? Highlight the relevant section(s).,3,No,14,0,0,
45,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,18,Does the author exaggerate the dangers of a situation and use scare tactics to persuade (the appeal to fear fallacy)?,3,No,14,0,0,
46,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,19,"Does the author suggest that something is good because it is natural, or bad because it is not natural (the naturalistic fallacy)?",3,No,14,0,0,
47,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,20,"Does the article have an emotionally charged tone? (i.e, outrage, snark, celebration, horror, etc.). If so, highlight the relevant section(s).",2,Sort of,14,45,83,"kill 1,200 and leave millions homeless"
47,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,20,"Does the article have an emotionally charged tone? (i.e, outrage, snark, celebration, horror, etc.). If so, highlight the relevant section(s).",2,Sort of,14,1324,1540,"[Image of children rowing a boat]
Caption: Children row a boat as they pass through damaged houses at a flood-affected village in Morigaon district in the northeastern state of Assam, India. (REUTERS/Anuwar Hazarika)"
47,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,20,"Does the article have an emotionally charged tone? (i.e, outrage, snark, celebration, horror, etc.). If so, highlight the relevant section(s).",2,Sort of,14,1999,2199,"[Image of partially submerged houses]
Caption: Partially submerged houses are seen at a flood-affected village in Morigaon district in the northeastern state of Assam, India. (REUTERS/Anuwar Hazarika)"
47,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,20,"Does the article have an emotionally charged tone? (i.e, outrage, snark, celebration, horror, etc.). If so, highlight the relevant section(s).",2,Sort of,14,2842,3032,"[Image of a flood victim in a shelter]
Caption: A flood victim takes refuge inside a temporary shelter after camping at a safe location in Saptari District, Nepal. (REUTERS/Navesh Chitrakar)"
47,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,20,"Does the article have an emotionally charged tone? (i.e, outrage, snark, celebration, horror, etc.). If so, highlight the relevant section(s).",2,Sort of,14,3385,3419,[Gallery of 9 images of the flood]
48,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,21,"Does the author exaggerate any claims? If so, highlight the relevant section(s).",3,No,14,0,0,
49,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,22,Is a general or singular causal claim made? Highlight the section(s) that supports your answer.,1,General Causal Claim,14,3827,3863,hallmark of man-made climate change.
49,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,22,Is a general or singular causal claim made? Highlight the section(s) that supports your answer.,1,General Causal Claim,14,4077,4101,"""a big negative impact""."
49,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,22,Is a general or singular causal claim made? Highlight the section(s) that supports your answer.,1,General Causal Claim,14,4026,4083,"climate change and new weather patterns are having ""a big"
50,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,23,What evidence is given for the primary claim? Select all that apply.,6,Experts are cited,14,3801,3863,climate scientists as the hallmark of man-made climate change.
50,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,23,What evidence is given for the primary claim? Select all that apply.,6,Experts are cited,14,4102,4103,"
"
50,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,23,What evidence is given for the primary claim? Select all that apply.,6,Experts are cited,14,3978,4101,"India's Prime Minister, Narendra Modi, has said climate change and new weather patterns are having ""a big negative impact""."
51,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,23,What evidence is given for the primary claim? Select all that apply.,3,The correlation appears across multiple independent contexts,14,3421,3551,"The disaster comes as headlines have focused on the floods in Houston, Texas, which authorities have described as ""unprecedented""."
51,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,23,What evidence is given for the primary claim? Select all that apply.,3,The correlation appears across multiple independent contexts,14,7,83,"Floods in India, Bangladesh and Nepal kill 1,200 and leave millions homeless"
52,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,23,What evidence is given for the primary claim? Select all that apply.,1,Correlation,14,7,83,"Floods in India, Bangladesh and Nepal kill 1,200 and leave millions homeless"
52,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,23,What evidence is given for the primary claim? Select all that apply.,1,Correlation,14,95,166,Authorities say monsoon flooding is one of the worst in region in years
53,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,23,What evidence is given for the primary claim? Select all that apply.,4,A plausible mechanism is proposed,14,3839,3863,man-made climate change.
53,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,23,What evidence is given for the primary claim? Select all that apply.,4,A plausible mechanism is proposed,14,4026,4101,"climate change and new weather patterns are having ""a big negative impact""."
54,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,25,How convincing do you find the evidence given for the primary claim?,2,Fairly Convincing,14,0,0,
55,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,1,Rate your impression of the credibility of this article,4,Somewhat high credibility,15,0,0,
56,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,2,Question: Does the title of the article accurately reflect the content of the article?,4,Completely Representative,15,0,0,
57,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,4,Is the headline clickbaity?,4,Not at all clickbaity,15,0,0,
58,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,7,Is this article primarily about a single scientific study?,2,No,15,0,0,
59,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,8,"Which of the following types of sources are cited in the article? Check all that apply. If Other, please highlight.",2,Experts,15,0,0,
60,281,http://pe.goodlylabs.org/project/CredCo_WebConf_Testing_6/task/281,credco_webconf_articles.tar,3,3article.txt,1,CredWeb3,Round 3: CredCo WebConf Alpha Testing Questions,8,"Which of the following types of sources are cited in the article? Check all that apply. If Other, please highlight.",4,Organizations,15,0,0,
